Index,Micros,BMP,Temperature (°C),Pressure (hPa),Altitude (m),,,,,,
Index,Micros,GPS,Latitude,Longitude,Altitude,Speed,Satellites,,,,
Index,Micros,BNO,Yaw,Pitch,Roll,MagX,MagY,MagZ,AccX,AccY,AccZ
,,,,,,,,,,,
297,82489001,GPS,0,0,0,0,0,0,,,
298,82522426,BMP390,21.75,1007.45,-0.17,,,,,,
299,82581748,BNO,-91.07,-11.03,-9.31,-17.31,-44.06,-108.06,0.2,0.04,0.2
300,82637775,BMP390,21.74,1007.45,-0.11,,,,,,
301,82697119,BNO,-91.07,-11.03,-9.31,-17.31,-44.06,-108.06,0.1,0.01,0.06
302,82757068,GPS,0,0,0,0,0,0,,,
303,82788946,BMP390,21.74,1007.45,-0.14,,,,,,
304,82849854,BNO,-91.07,-11.03,-9.31,-17.31,-44.06,-108.06,0.02,0.11,0
305,82907159,BMP390,21.73,1007.46,-0.19,,,,,,
306,82966482,BNO,-92.63,-11.77,-9.16,-17.31,-44.06,-108.06,0.02,0.11,0
307,83026840,GPS,0,0,0,0,0,0,,,
308,83058914,BMP390,21.73,1007.46,-0.19,,,,,,
309,83118225,BNO,-92.63,-11.77,-9.16,-17.31,-44.06,-108.06,-0.08,-0.05,-0.07
310,83174768,BMP390,21.73,1007.45,-0.15,,,,,,
311,83234080,BNO,-92.79,-12.04,-9.74,-17.31,-44.06,-108.06,-0.08,-0.05,-0.07
312,83294800,GPS,0,0,0,0,0,0,,,
313,83329333,BMP390,21.72,1007.46,-0.18,,,,,,
314,83388629,BNO,-92.63,-12.31,-9.97,-17.31,-44.06,-108.06,-0.08,-0.05,-0.07
315,83444434,BMP390,21.72,1007.45,-0.12,,,,,,
316,83503744,BNO,-92.63,-12.31,-9.97,-17.31,-44.06,-108.06,-0.33,0.05,-0.01
317,83563738,GPS,0,0,0,0,0,0,,,
318,83596379,BMP390,21.72,1007.45,-0.14,,,,,,
319,83655662,BNO,-92.51,-11.36,-9.66,-17.31,-44.06,-108.06,-0.33,0.05,-0.01
320,83711239,BMP390,21.71,1007.44,-0.08,,,,,,
321,83770551,BNO,-92.51,-11.36,-9.66,-17.31,-44.06,-108.06,-0.11,-0.15,-0.18
322,83832266,GPS,0,0,0,0,0,0,,,
323,83864522,BMP390,21.71,1007.45,-0.11,,,,,,
324,83923846,BNO,-92.51,-11.36,-9.66,-17.94,-42.38,-108.38,-0.11,-0.15,-0.18
325,83979026,BMP390,21.7,1007.46,-0.18,,,,,,
326,84038303,BNO,-92.51,-11.36,-9.66,-17.94,-42.38,-108.38,-0.24,0.04,-0.03
327,84097859,GPS,0,0,0,0,0,0,,,
328,84130465,BMP390,21.7,1007.45,-0.14,,,,,,
